City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,nome,1,US,1562271994,74,30.04,-94.42,91.99,8.05
213,pimentel,33,BR,1562272280,92,-3.7,-45.5,77.18,2.53
214,hithadhoo,71,MV,1562272280,80,-0.6,73.08,83.39,12.88
215,myitkyina,100,MM,1562272280,99,25.38,97.4,73.14,2.04
216,viedma,38,AR,1562272281,71,-40.81,-62.99,41.5,12.93
217,antigonish,1,CA,1562272281,64,45.62,-61.99,75.0,12.75
218,talnakh,0,RU,1562272281,81,69.49,88.39,51.8,20.13
219,soyo,0,AO,1562272282,83,-6.13,12.37,73.4,3.36
220,honiara,20,SB,1562272282,100,-9.43,159.96,71.6,7.11
221,geraldton,75,CA,1562272282,94,49.72,-86.95,71.6,3.36
222,belomorsk,100,RU,1562272283,97,64.52,34.76,53.47,6.44
223,bolkhov,0,RU,1562272283,86,53.44,36.0,48.43,8.08
224,klaksvik,100,FO,1562272283,100,62.23,-6.59,48.2,10.29
225,gizo,0,IL,1562272283,69,31.8,34.94,80.01,5.82
226,mubi,100,NG,1562272284,87,10.27,13.26,74.66,6.69
227,ta khmau,40,KH,1562272285,83,11.48,104.95,78.8,4.7
228,codrington,75,AU,1562272285,93,-28.95,153.24,60.8,5.82
229,constitucion,75,MX,1562272285,21,23.99,-104.67,80.6,8.05
230,boden,0,SE,1562272286,76,65.83,21.69,55.4,2.24
231,saskylakh,98,RU,1562272286,90,71.97,114.09,46.38,13.27
232,shenzhen,40,CN,1562272286,83,22.54,114.05,84.2,6.71
233,redlands,5,US,1562272287,28,34.06,-117.19,88.0,9.17
234,nikolskoye,0,RU,1562272287,66,59.7,30.79,53.6,6.71
235,clyde river,75,CA,1562272287,93,70.47,-68.59,37.4,6.93
236,seoul,1,KR,1562272113,82,37.57,126.98,68.0,1.12
237,ngorongoro,72,TZ,1562272288,61,-3.24,35.49,65.62,16.69
238,krasnokamensk,100,RU,1562272288,52,50.1,118.04,52.03,14.14
239,lompoc,90,US,1562272288,77,34.64,-120.46,79.0,14.99
240,maceio,20,BR,1562272288,74,-9.67,-35.74,80.6,6.93
241,labuhan,0,ID,1562272289,93,-2.54,115.51,70.57,2.08
242,marsabit,22,KE,1562272289,34,2.34,37.99,83.17,19.57
243,srednekolymsk,100,RU,1562272289,74,67.46,153.71,52.12,9.82
244,qaqortoq,75,GL,1562272290,39,60.72,-46.03,62.6,9.17
245,taft,76,PH,1562272290,95,11.9,125.42,71.2,2.39
246,codajas,100,BR,1562272290,85,-3.84,-62.06,81.68,1.7
247,vestmannaeyjar,6,IS,1562272291,86,63.44,-20.27,51.6,14.94
248,airai,0,TL,1562272291,76,-8.93,125.41,64.2,5.03
249,manjeshwar,40,IN,1562272291,83,12.72,74.89,82.4,6.93
250,biak,100,ID,1562272291,98,-0.91,122.88,63.3,3.6
251,gayny,1,RU,1562272292,98,60.3,54.33,50.3,5.57
252,alta floresta,40,BR,1562272292,38,-9.87,-56.08,91.4,5.82
253,ishigaki,100,JP,1562272292,82,24.34,124.16,84.83,25.05
254,coahuayana,100,MX,1562272292,57,18.62,-100.35,89.78,1.25
255,mongo,18,CD,1562272293,63,-5.62,14.6,74.87,7.07
256,isangel,20,VU,1562272293,94,-19.55,169.27,68.0,9.42
257,kurchum,62,KZ,1562272293,57,48.57,83.65,59.97,6.29
258,halifax,20,CA,1562272176,54,44.65,-63.58,84.0,6.93
259,ulaangom,100,MN,1562272294,47,49.98,92.07,60.67,1.34
260,kodiak,1,US,1562272294,42,39.95,-94.76,84.0,9.17
261,westport,1,US,1562272294,58,41.14,-73.36,91.0,8.05
262,salina cruz,68,MX,1562272295,64,16.18,-95.2,86.18,8.52
263,puerto narino,20,CO,1562272295,58,-3.77,-70.38,87.8,5.82
264,mandalgovi,47,MN,1562272295,72,45.76,106.27,58.11,13.29
265,caravelas,0,BR,1562272296,82,-17.73,-39.27,77.18,9.64
266,maragogi,0,BR,1562272296,93,-9.01,-35.22,73.74,4.43
267,tarpon springs,40,US,1562272296,78,28.15,-82.76,89.01,11.36
268,provideniya,75,RU,1562272008,87,64.42,-173.23,46.4,6.71
269,hay river,20,CA,1562272297,72,60.82,-115.79,59.0,5.82
270,rio hato,40,PA,1562272297,59,8.38,-80.16,91.4,11.41
271,laela,18,TZ,1562272297,67,-8.57,32.05,56.17,4.92
272,saint-augustin,20,CA,1562272013,45,45.63,-73.98,93.0,6.93
273,muros,75,ES,1562272298,72,42.77,-9.06,69.01,2.24
274,moerai,84,PF,1562272298,68,-22.43,-151.33,69.13,28.66
275,lethem,14,GY,1562272298,55,3.38,-59.8,89.06,9.42
276,tottori,100,JP,1562272299,83,35.5,134.23,68.61,1.77
277,severo-kurilsk,100,RU,1562272299,98,50.68,156.12,42.35,7.9
278,petropavlovsk-kamchatskiy,90,RU,1562272299,100,53.05,158.65,48.2,4.47
279,hasaki,75,JP,1562272299,93,35.73,140.83,66.2,5.82
280,fairbanks,90,US,1562272188,59,64.84,-147.72,66.2,6.93
